,symbol
480,AVLR
481,MTD
482,GLW
483,SJM
484,FANG
485,DG
486,CTXS
487,LUMN
488,L
489,ROK
490,XRAY
491,CMI
492,CS
493,GDDY
494,FTNT
495,FUTU
496,LI
497,RH
498,OTEX
499,MT
500,HWM
501,AAP
502,EXPE
503,AMX
504,YNDX
505,CUK
506,PHM
507,MMC
508,HMC
509,HPQ
510,ZBH
511,AAL
512,LMT
513,MQ
514,HAS
515,NVS
516,DISCK
517,NWS
518,IPG
519,RPRX
520,APO
521,BDX
522,CCI
523,RNG
524,KSU
525,WHR
526,APD
527,CERN
528,GWW
529,KEP
530,FMC
531,ABB
532,FMS
533,DLR
534,DDOG
535,URI
536,AMH
537,PKX
538,ASML
539,CPB
540,AMOV
541,DOV
542,FBHS
543,RBLX
544,NTRS
545,LBRDK
546,NTR
547,ROST
548,WAT
549,OKE
550,UHS
551,ENPH
552,BK
553,LVS
554,NXPI
555,DXCM
556,VMC
557,DHI
558,MDB
559,TFC
560,STZ
561,VIV
562,SBNY
563,HTHT
564,NVAX
565,GME
566,IBN
567,FTV
568,PAYC
569,FIVN
570,MHK
571,TDOC
572,ATO
573,WRK
574,WRB
575,ESTC
576,ORLY
577,VEDL
578,PKG
579,CSX
580,DELL
581,EXR
582,FIS
583,CCK
584,INVH
585,CBOE
586,JKHY
587,DTE
588,DLTR
589,FNF
590,FCX
591,BBDO
592,LYB
593,MKC
594,USB
595,FDS
596,SPLK
597,TAK
598,NDSN
599,LULU
600,IP
601,STLD
602,ECL
603,HES
604,ANTM
605,EBR
606,APTV
607,UMC
608,MU
609,GIB
610,GGG
611,DVA
612,SNPS
613,CLX
614,ADM
615,WCN
616,IRM
617,EQH
618,BKI
619,PCOR
620,VTR
621,VFC
622,IT
623,APP
624,PSX
625,XP
626,TJX
627,LII
628,BBVA
629,CLR
630,DISH
631,MTN
632,HZNP
633,SC
634,SEDG
635,GDRX
636,TRU
637,ATH
638,FND
639,COF
640,VRTX
641,SWK
642,SID
643,EOG
644,NOK
645,MPW
646,ALLE
647,LBRDA
648,RGEN
649,BRKR
650,S
651,PWR
652,RACE
653,XYL
654,SBSW
655,FFIV
656,CHGG
657,WTRG
658,SQM
659,CHRW
660,SOFI
661,IAC
662,BAH
663,TLK
664,HIG
665,PPL
666,TS
667,IHG
668,KMX
669,D
670,DBX
671,MLM
672,ETN
673,WM
674,XLNX
675,AVB
676,SNA
677,ZS
678,LEN
679,CNA
680,APH
681,TTC
682,WB
683,BKNG
684,SUI
685,PNR
686,ALB
687,ASAN
688,BAM
689,NLY
690,CHT
691,QGEN
692,BX
693,NWG
694,CNHI
695,TRI
696,PEG
697,INFY
698,BZ
699,DUK
700,AEE
701,AXON
702,BP
703,CX
704,BURL
705,LSPD
706,EQR
707,NDAQ
708,REGN
709,NWL
710,EIX
711,K
712,ITW
713,LNC
714,WSM
715,ESS
716,BKR
717,ROP
718,CM
719,HCA
720,BILI
721,AME
722,WYNN
723,KOF
724,MAA
725,MCK
726,TECK
727,SPG
728,CABO
729,UHAL
730,EPD
731,CMG
732,FLT
733,ZTO
734,LNG
735,PHG
736,TPR
737,LAD
738,ACN
739,STE
740,BWA
741,MCO
742,AVTR
743,MOS
744,CHD
745,E
746,HST
747,MDLZ
748,MCFE
749,EFX
750,VER
751,FERG
752,EXPD
753,FAST
754,AOS
755,BAX
756,CTVA
757,ANSS
758,TSCO
759,TPL
760,FE
761,SIVB
762,LPLA
763,ETR
764,REG
765,PENN
766,IVZ
767,DECK
768,TREX
769,GH
770,IX
771,HSIC
772,CLF
773,GPS
774,FTS
775,HTGC
776,CEA
777,PRGS
778,GLPI
779,EVRI
780,ZNGA
781,EVT
782,AXSM
783,TRQ
784,HAE
785,BSMX
786,CROX
787,FWONK
788,GPI
789,R
790,BCRX
791,PLAN
792,ATR
793,CTOS
794,CXP
795,SAVA
796,FOXA
797,AVT
798,SBRA
799,AUY
800,COOP
801,RVLV
802,EAF
803,NABL
804,AVYA
805,QTS
806,CLDX
807,CCMP
808,EVGO
809,RLAY
810,DSGX
811,RPM
812,TOL
813,EXPO
814,DAR
815,FSK
816,COR
817,HAIN
818,PEB
819,PSN
820,AYI
821,MAX
822,HCSG
823,CIB
824,PDI
825,CNS
826,CRNC
827,EQX
828,SPWR
829,BRFS
830,CPG
831,CNMD
832,ARES
833,KNBE
834,ICL
835,GLPG
836,SNV
837,CNNE
838,ZI
839,ZIM
840,SFIX
841,AXNX
842,ASB
843,MSGS
844,DSEY
845,DDL
846,CATY
847,ALRM
848,MUSA
849,NKTR
850,BCC
851,STOR
852,PDCO
853,ADPT
854,VEON
855,TRMK
856,RDFN
857,BMBL
858,AMG
859,TKC
860,OLLI
861,SWCH
862,TASK
863,AVPT
864,KMT
865,ARMK
866,STMP
867,ORGO
868,PII
869,FIGS
870,GSBD
871,SASR
872,BLI
873,PACB
874,CNK
875,OM
876,SNCY
877,BGS
878,IIVI
879,SPXC
880,CWK
881,MGNI
882,SFNC
883,ESLT
884,SJI
885,LTHM
886,YSG
887,UPST
888,SWKS
889,MTSI
890,WOW
891,CORE
892,PMT
893,GOEV
894,ASZ
895,BIPC
896,JOBS
897,INTA
898,BSIG
899,WNS
900,BZUN
901,CNTA
902,AAWW
903,TKR
904,HXL
905,SWAV
906,HTLF
907,CDE
908,ILMN
909,KRNT
910,EVH
911,WTS
912,ESNT
913,FA
914,AQUA
915,TRN
916,PACK
917,SFM
918,CLBK
919,IBTX
920,PEGA
921,DEI
922,BTRS
923,AVAL
924,UPWK
925,INFN
926,HIW
927,INGR
928,FINV
929,EPAM
930,BHG
931,ROOT
932,GOGL
933,PSO
934,TTEK
935,PDCE
936,INT
937,SEER
938,EPR
939,QRTEA
940,FL
941,SSB
942,CYH
943,CBU
944,CUBE
945,MDP
946,DNLI
947,GNTX
948,CUZ
949,BSAC
950,DQ
951,BAK
952,ADS
953,NBIX
954,BPOP
955,MKFG
956,DEA
957,STVN
958,POWI
959,KYMR
960,GCMG
961,AEVA
962,NPO
963,GBCI
964,RUBY
965,TBK
966,CIG
967,ORA
968,SBLK
969,CACC
970,MRTX
971,BCH
972,PBCT
973,ENLC
974,HALO
975,LSTR
976,USA
977,ALKS
978,PRO
979,QTRX
980,AVAH
981,HLNE
982,AHCO
983,ARWR
984,GLBE
985,TAP
986,ELY
987,PATK
988,WF
989,TNL
990,BDJ
991,MAIN
992,KALU
993,WSO
994,HUYA
995,AWK
996,QLYS
997,AZPN
998,CDK
999,NNI
1000,DLX
1001,DCPH
1002,MNR
1003,OGE
1004,ARCC
1005,BLFS
1006,MYOV
1007,LAZR
1008,SVC
1009,DRH
1010,MGRC
1011,VIRT
1012,BTT
1013,UP
1014,VMI
1015,T
1016,CNC
1017,YELP
1018,AIMC
1019,REGI
1020,IRT
1021,RLI
1022,TGTX
1023,LZ
1024,BMI
1025,DRNA
1026,HBM
1027,KSS
